block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,61.0
22,348.16,348.16,348.16,11349470000.0
23,348.16,348.16,348.16,11529620.0
24,348.16,348.18,348.16,2402.0
25,348.16,348.18,348.16,6.0
26,348.16,348.17,348.16,60.0
27,348.16,348.19,348.16,0.0
1,348.17,348.18,348.17,1401.0
2,350.35,350.73,350.37,15525180.0
3,350.37,350.74,350.39,2802.0
28,348.17,348.19,348.17,13139.7
4,350.38,350.75,350.4,13.0
29,348.18,348.21,348.18,11679.73
5,350.4,350.76,350.42,12.0
8,350.4,350.75,350.42,0.0
30,348.2,348.25,348.2,37959.14
6,350.41,350.77,350.43,5.0
9,,,0.0,600.5001
10,,,0.0,9011705.0
11,,,0.0,16213.5
12,,,0.0,7.0
13,,,0.0,1401.0
32,348.21,348.26,348.21,58.0
31,348.21,348.26,348.21,2982.088
7,350.42,350.77,350.44,51.0
15,350.42,350.77,350.44,7042017.0
14,,,0.0,0.0
16,,,0.0,0.0
17,,,0.0,279.1055
18,,,0.0,2802.0
19,,,0.0,9.0
20,,,0.0,2402.0
21,,,0.0,720601.2
