block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,49.0
22,348.16,348.16,348.16,649001.1
23,348.16,348.16,348.16,0.0
24,348.16,348.18,348.16,9701461000.0
25,348.16,348.18,348.16,0.0
26,348.16,348.17,348.16,33748060.0
27,348.16,348.19,348.16,16549530.0
1,348.17,348.18,348.17,12.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,41.0
28,348.17,348.19,348.17,1947003.0
4,350.38,350.75,350.4,55.0
29,348.18,348.21,348.18,751.5
5,350.4,350.76,350.42,3902.999
8,350.4,350.75,350.42,645.4179
30,348.2,348.25,348.2,42.0
6,350.41,350.77,350.43,0.0
9,,,0.0,31834590.0
10,,,0.0,3252.5
11,,,0.0,6.0
12,,,0.0,64.0
13,,,0.0,1252.5
32,348.21,348.26,348.21,0.0
31,348.21,348.26,348.21,60.0
7,350.42,350.77,350.44,386.2343
15,350.42,350.77,350.44,0.0
14,,,0.0,649001.1
16,,,0.0,9701461000.0
17,,,0.0,0.0
18,,,0.0,33748060.0
19,,,0.0,16549530.0
20,,,0.0,1947003.0
21,,,0.0,1252.5
