block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,73.0
22,348.16,348.16,348.16,43.0
23,348.16,348.16,348.16,51.0
24,348.16,348.18,348.16,288.0043
25,348.16,348.18,348.16,176.0026
26,348.16,348.17,348.16,672.0099
27,348.16,348.19,348.16,46.0
1,348.17,348.18,348.17,3500.0
2,350.35,350.73,350.37,7.0
3,350.37,350.74,350.39,12.0
28,348.17,348.19,348.17,6.0
4,350.38,350.75,350.4,5.0
29,348.18,348.21,348.18,6.0
5,350.4,350.76,350.42,41.0
8,350.4,350.75,350.42,7.812499
30,348.2,348.25,348.2,7.0
6,350.41,350.77,350.43,63.0
9,,,0.0,5953.124
10,,,0.0,21580070.0
11,,,0.0,3999.999
12,,,0.0,999.9998
13,,,0.0,12000.0
32,348.21,348.26,348.21,17.0
31,348.21,348.26,348.21,7.0
7,350.42,350.77,350.44,3000.0
15,350.42,350.77,350.44,7.812499
14,,,0.0,66999.99
16,,,0.0,2976.562
17,,,0.0,11906250.0
18,,,0.0,1984.375
19,,,0.0,1503.906
20,,,0.0,37597.65
21,,,0.0,41999.99
