block_id,temp_mean,temp_max,temp_area_weighted_mean,execution_cycles
0,348.16,348.17,348.16,71.0
22,348.16,348.16,348.16,13890640.0
23,348.16,348.16,348.16,59531310000.0
24,348.16,348.18,348.16,8000007.0
25,348.16,348.18,348.16,4002.001
26,348.16,348.17,348.16,1.0
27,348.16,348.19,348.16,2001.0
1,348.17,348.18,348.17,12.0
2,350.35,350.73,350.37,5.0
3,350.37,350.74,350.39,63.0
28,348.17,348.19,348.17,0.0
4,350.38,350.75,350.4,53.0
29,348.18,348.21,348.18,7909705.0
5,350.4,350.76,350.42,40020.01
8,350.4,350.75,350.42,7.816408
30,348.2,348.25,348.2,0.0
6,350.41,350.77,350.43,19.0
9,,,0.0,8934.154
10,,,0.0,17371970.0
11,,,0.0,1985.368
12,,,0.0,504.1583
13,,,0.0,40332.67
32,348.21,348.26,348.21,5002.501
31,348.21,348.26,348.21,234.4922
7,350.42,350.77,350.44,2001.0
15,350.42,350.77,350.44,38000.01
14,,,0.0,2001.0
16,,,0.0,11005.5
17,,,0.0,13.0
18,,,0.0,7003.502
19,,,0.0,14000010.0
20,,,0.0,0.0
21,,,0.0,1843752.0
