module_name,function_name,block_name,block_id,cycle_count,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes
./objects//lu.pgo.merged.ll,main,entry,0,33,1,18014400000000000,0,0,0,0,18,12,9,2,0,1,0,3,3,0,0,1,18,12,0,0,0,33,0,9,2,0,9,9,18,9,0,0,9,9,18,0,0,0,0,1,0,9,0
./objects//lu.pgo.merged.ll,main,land.lhs.true,1,12,1,6004800000000000,2,0,0,0,7,2,3,2,0,1,0,0,0,0,0,1,7,2,0,0,0,12,0,3,2,0,3,3,6,3,0,0,3,3,6,0,0,0,0,1,0,3,0
./objects//lu.pgo.merged.ll,main,if.then,2,5,1,353219000000000,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//lu.pgo.merged.ll,main,if.end,3,29,1,18014400000000000,0,0,0,0,7,8,5,0,0,0,0,1,2,0,0,0,7,8,0,0,0,29,0,5,0,0,5,5,10,5,0,0,5,5,10,0,0,0,0,0,0,5,0
./objects//lu.pgo.merged.ll,init_array,entry,4,48,1,18156200,2,0,0,0,23,10,10,3,0,0,0,0,0,0,0,1,23,10,0,0,0,48,0,10,3,0,10,10,20,10,0,0,10,10,20,0,0,0,0,1,0,10,0
./objects//lu.pgo.merged.ll,init_array,for.cond1.preheader,5,9004,1000,18165300000,0,0,0,0,11006,12006,7004,7004,0,0,0,0,0,1000,0,6003,11006,12006,0,0,0,9004,0,7004,7004,0,7004,7004,14008,7004,0,0,7004,7004,14008,0,0,0,1000,6003,0,7004,0
./objects//lu.pgo.merged.ll,init_array,for.body3,6,34017000,1000500,18165300000000,0,1000500,0,0,16008000,9004500,8004000,6003000,0,1000500,0,0,0,1000500,2001000,5002500,16008000,9004500,0,0,0,34017000,0,8004000,6003000,0,8004000,8004000,16008000,8004000,0,0,8004000,8004000,16008000,0,0,0,1000500,5002500,2001000,8004000,0
./objects//lu.pgo.merged.ll,init_array,for.end,7,2001,1000,18165300000,0,0,0,0,2001,1000,2001,1000,0,1000,0,0,0,0,0,1000,2001,1000,0,0,0,2001,0,2001,1000,0,2001,2001,4002,2001,0,0,2001,2001,4002,0,0,0,0,1000,0,2001,0
./objects//lu.pgo.merged.ll,init_array,for.body11.lr.ph,8,17000,1000,18156200000,2000,0,0,0,11000,5000,3000,2000,0,0,0,1000,1000,0,0,0,11000,5000,0,0,0,17000,0,3000,2000,0,3000,3000,6000,3000,0,0,3000,3000,6000,0,0,0,0,0,0,3000,0
./objects//lu.pgo.merged.ll,init_array,for.end18,9,11006,1000,18165300000,0,1000,0,0,15008,11006,9004,8004,0,1000,0,0,0,1000,0,6003,15008,11006,0,0,0,11006,0,9004,8004,0,9004,9004,18008,9004,0,0,9004,9004,18008,0,0,0,1000,6003,0,9004,0
./objects//lu.pgo.merged.ll,init_array,for.end25,10,13,1,18156200,0,0,0,0,15,9,5,3,0,0,0,2,2,0,0,2,15,9,0,0,0,13,0,5,3,0,5,5,10,5,0,0,5,5,10,0,0,0,0,2,0,5,0
./objects//lu.pgo.merged.ll,init_array,for.cond48.preheader,11,7004,1000,18165300000,0,0,0,0,14007,8004,7004,7004,0,0,0,0,0,0,0,5002,14007,8004,0,0,0,7004,0,7004,7004,0,7004,7004,14008,7004,0,0,7004,7004,14008,0,0,0,0,5002,0,7004,0
./objects//lu.pgo.merged.ll,init_array,for.cond52.preheader,12,14000000,2000000,36312500000000,0,0,0,0,18000000,12000000,10000000,8000010,0,2000000,0,0,0,2000000,0,8000010,18000000,12000000,0,0,0,14000000,0,10000000,8000010,0,10000000,10000000,20000000,10000000,0,0,10000000,10000000,20000000,0,0,0,2000000,8000010,0,10000000,0
