module_name,function_name,block_name,block_id,cycle_count,freq,global_freq,loads,stores,spills,reloads,reads,writes,instr_count,int_instr_count,float_instr_count,branch_instr_count,load_store_instr_count,function_calls,context_switches,mul_access,fp_access,ialu_access,int_regfile_reads,int_regfile_writes,float_regfile_reads,float_regfile_writes,idle_cycles,busy_cycles,branch_mispredictions,committed_instr,committed_int_instr,committed_float_instr,rob_reads,rob_writes,rename_reads,rename_writes,fp_rename_reads,fp_rename_writes,inst_window_writes,inst_window_reads,inst_window_wakeup_accesses,fp_inst_window_reads,fp_inst_window_writes,fp_inst_window_wakeup_accesses,cdb_mul_accesses,cdb_alu_accesses,cdb_fp_accesses,btb_reads,btb_writes
./objects//symm.pgo.merged.ll,main,entry,0,76,1,18014400000000000,2,1,0,0,57,29,22,10,0,1,0,5,5,0,0,4,57,29,0,0,0,76,0,22,10,0,22,22,44,22,0,0,22,22,44,0,0,0,0,4,0,22,0
./objects//symm.pgo.merged.ll,main,land.lhs.true,1,17,1,6004800000000000,3,0,0,0,10,3,4,3,0,1,0,0,0,0,0,1,10,3,0,0,0,17,0,4,3,0,4,4,8,4,0,0,4,4,8,0,0,0,0,1,0,4,0
./objects//symm.pgo.merged.ll,main,if.then,2,5,1,353219000000000,0,0,0,0,3,2,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,5,0,1,0,0,1,1,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0
./objects//symm.pgo.merged.ll,main,if.end,3,58,1,18014400000000000,0,0,0,0,17,20,11,1,0,0,0,3,4,0,0,1,17,20,0,0,0,58,0,11,1,0,11,11,22,11,0,0,11,11,22,0,0,0,0,1,0,11,0
./objects//symm.pgo.merged.ll,init_array,entry,4,67,1,60561300000,6,2,0,0,38,16,17,12,0,0,0,0,0,0,0,1,38,16,0,0,0,67,0,17,12,0,17,17,34,17,0,0,17,17,34,0,0,0,0,1,0,17,0
./objects//symm.pgo.merged.ll,init_array,for.cond1.preheader,5,1001,500,30310900000000,0,0,0,0,1001,500,1001,500,0,500,0,0,0,0,0,500,1001,500,0,0,0,1001,0,1001,500,0,1001,1001,2002,1001,0,0,1001,1001,2002,0,0,0,0,500,0,1001,0
./objects//symm.pgo.merged.ll,init_array,for.body3.preheader,6,0,4,236804000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
./objects//symm.pgo.merged.ll,init_array,for.body3,7,305,4,236804000000,0,8,0,0,137,121,86,70,0,8,0,0,0,23,8,55,137,121,0,0,0,305,0,86,70,0,86,86,172,86,0,0,86,86,172,0,0,0,23,55,8,86,0
./objects//symm.pgo.merged.ll,init_array,vector.ph,8,2483,497,30074100000000,0,0,0,0,3476,2483,2483,1490,0,0,0,0,0,0,0,497,3476,2483,0,0,0,2483,0,2483,1490,0,2483,2483,4966,2483,0,0,2483,2483,4966,0,0,0,0,497,0,2483,0
./objects//symm.pgo.merged.ll,init_array,vector.body,9,35100000,297457,18014400000000000,0,594915,0,0,19334700,10708500,11303400,1784740,0,297457,0,0,0,2974570,0,1189830,19334700,10708500,0,0,0,35100000,0,11303400,1784740,0,11303400,11303400,22606800,11303400,0,0,11303400,11303400,22606800,0,0,0,2974570,1189830,0,11303400,0
