block_id,temp_max_etc,temp_max_baseline,temp_diff
19,77.0,77.0,0.0
5,77.0,77.0,0.0
10,77.0,77.0,0.0
15,77.0,77.0,0.0
18,77.0,77.0,0.0
4,77.0,77.0,0.0
9,77.0,77.0,0.0
14,79.30000000000001,79.31,-0.009999999999990905
17,71.53000000000003,71.57000000000005,-0.040000000000020464
0,77.0,77.0,0.0
3,77.0,77.0,0.0
8,77.0,77.0,0.0
13,79.30000000000001,79.31,-0.009999999999990905
16,71.53000000000003,71.57000000000005,-0.040000000000020464
2,77.0,77.0,0.0
6,77.0,77.0,0.0
7,77.0,77.0,0.0
12,81.45000000000005,81.46000000000004,-0.009999999999990905
1,77.0,77.0,0.0
11,81.45000000000005,81.46000000000004,-0.009999999999990905
