block_id,required_voltage_value,obtained_frequency,voltage_level
0,0.65,3.0366143,0.65
35,0.65,3.0366143,0.65
36,0.65,3.0366143,0.65
37,0.65,3.0366935999999995,0.65
38,0.65,3.0366935999999995,0.65
39,0.65,3.0366143,0.65
40,0.65,3.0366935999999995,0.65
1,0.65,3.0367729,0.65
41,0.65,3.0367729,0.65
4,0.65,3.0367729,0.65
9,0.65,3.0367729,0.65
2,0.65,3.0368522,0.65
42,0.65,3.0368522,0.65
5,0.65,3.0368522,0.65
6,0.65,3.0524743,0.65
7,0.65,3.0524743,0.65
10,0.65,3.037010799999999,0.65
13,0.65,3.0370901000000003,0.65
14,0.65,3.0560428,0.65
3,0.65,3.0369315,0.65
30,0.65,3.0369315,0.65
43,0.65,3.0370901000000003,0.65
8,0.65,3.0524743,0.65
32,0.65,3.0366143,0.65
33,0.65,3.0367729,0.65
31,0.65,3.037010799999999,0.65
45,0.65,3.0371694,0.65
44,0.65,3.0371694,0.65
34,0.65,3.0368522,0.65
