block_id,required_voltage,voltage_level
0,3,3
57,3,3
58,3,3
59,3,3
60,3,3
61,3,3
62,3,3
1,3,3
4,3,3
27,3,3
2,3,3
5,3,3
6,2,2
7,2,2
8,2,2
9,2,2
28,3,3
29,3,3
30,3,3
31,3,3
32,2,2
33,2,2
34,2,2
35,4,4
36,2,2
37,2,2
38,2,2
39,2,2
40,2,2
41,1,1
42,1,1
43,0,0
44,0,0
45,1,1
46,1,1
47,1,1
48,1,1
3,3,3
50,3,3
10,2,2
49,1,1
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
11,2,2
12,1,1
13,0,0
14,0,0
15,1,1
16,4,4
17,0,0
18,0,0
63,3,3
56,0,0
19,0,0
64,3,3
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
65,3,3
26,0,0
67,3,3
66,3,3
