,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,2.4333333333333333e-08,1.0,0.65,3.0366143
1,22,350.16,1.4333333333333333e-08,1.0,0.65,3.0366143
2,23,350.16,1.7e-08,1.0,0.65,3.0366143
3,24,350.17,9.600143333333336e-08,32.0,0.65,3.0366935999999995
4,27,350.17,1.5333333333333335e-08,1.0,0.65,3.0366935999999995
5,1,350.17,1.1666666666666666e-06,125.0,0.65,3.0366935999999995
6,2,352.58,2.333333333333333e-09,1.0,0.65,3.0558049
7,3,352.58,4e-09,1.0,0.65,3.0558049
8,28,350.17,2e-09,1.0,0.65,3.0366935999999995
9,4,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
10,29,350.19,2e-09,1.0,0.65,3.0368522
11,5,352.58,1.3666666666666668e-08,1.0,0.65,3.0558049
12,30,350.21,2.333333333333333e-09,1.0,0.65,3.037010799999999
13,6,352.58,2.1e-08,1.0,0.65,3.0558049
14,32,350.22,5.666666666666667e-09,1.0,0.65,3.0370901000000003
15,31,350.22,2.333333333333333e-09,1.0,0.65,3.0370901000000003
16,7,352.58,1e-06,1000.0,0.65,3.0558049
17,33,,,,,
18,34,,,,,
19,35,,,,,
20,37,,,,,
21,36,,,,,
22,8,,,,,
23,9,,,,,
24,10,,,,,
25,11,,,,,
26,12,,,,,
27,13,,,,,
28,14,,,,,
29,15,,,,,
30,16,,,,,
31,17,,,,,
32,18,,,,,
33,19,,,,,
34,20,,,,,
35,21,,,,,
36,25,,,,,
37,26,,,,,
