,block_id,temp_max,execution_time,dvs_calling_count,required_voltage_value,obtained_frequency
0,0,350.16,1.6333333333333334e-08,1.0,0.65,3.0366143
1,1,350.17,4e-09,1.0,0.65,3.0366935999999995
2,2,352.58,1.6666666666666667e-09,1.0,0.65,3.0558049
3,3,352.58,1.3666666666666668e-08,1.0,0.65,3.0558049
4,4,352.58,1.8333333333333332e-08,1.0,0.65,3.0558049
5,5,352.58,1.3009996666666666e-06,650.0,0.65,3.0558049
6,30,350.21,1.4e-08,1.0,0.65,3.037010799999999
7,32,350.22,0.0,497.0,0.65,3.0370901000000003
8,31,350.22,2e-08,1.0,0.65,3.0370901000000003
9,38,,,,,
10,39,,,,,
11,40,,,,,
12,41,,,,,
13,42,,,,,
14,43,,,,,
15,44,,,,,
16,12,,,,,
17,45,,,,,
18,6,,,,,
19,7,,,,,
20,8,,,,,
21,9,,,,,
22,10,,,,,
23,13,,,,,
24,14,,,,,
25,15,,,,,
26,16,,,,,
27,17,,,,,
28,18,,,,,
29,19,,,,,
30,20,,,,,
31,21,,,,,
32,22,,,,,
33,23,,,,,
34,24,,,,,
35,25,,,,,
36,26,,,,,
37,27,,,,,
38,28,,,,,
39,29,,,,,
40,46,,,,,
41,11,,,,,
42,33,,,,,
43,34,,,,,
44,35,,,,,
45,36,,,,,
46,48,,,,,
47,47,,,,,
48,37,,,,,
