block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.0,77.0,0.0
1,77.0,77.0,0.0
4,77.0,77.0,0.0
11,77.0,77.0,0.0
2,77.0,77.0,0.0
5,77.0,77.0,0.0
19,77.0,77.0,0.0
15,77.0,77.0,0.0
18,77.0,77.0,0.0
14,77.0,77.0,0.0
17,79.18,79.14000000000004,0.03999999999996362
13,77.0,77.0,0.0
16,79.18,79.14000000000004,0.03999999999996362
12,79.25,79.22000000000003,0.029999999999972715
3,77.0,77.0,0.0
21,77.0,77.0,0.0
6,77.0,77.0,0.0
20,77.0,77.0,0.0
24,77.0,77.0,0.0
22,77.0,77.0,0.0
23,77.0,77.0,0.0
9,77.0,77.0,0.0
8,77.0,77.0,0.0
7,77.0,77.0,0.0
25,77.0,77.0,0.0
10,77.0,77.0,0.0
