block_id,temp_max_etc,temp_max_baseline,temp_diff
0,77.01000000000005,77.01000000000005,0.0
36,77.01000000000005,77.01000000000005,0.0
37,77.01000000000005,77.01000000000005,0.0
38,77.02000000000004,77.02000000000004,0.0
39,77.02000000000004,77.02000000000004,0.0
40,77.01000000000005,77.02000000000004,-0.009999999999990905
41,77.02000000000004,77.04000000000002,-0.01999999999998181
1,77.04000000000002,77.05000000000001,-0.009999999999990905
2,78.41000000000003,78.42000000000002,-0.009999999999990905
3,78.42000000000002,78.43,-0.009999999999990905
42,77.03000000000003,77.04000000000002,-0.009999999999990905
4,78.43,78.44,-0.009999999999990905
43,77.04000000000002,77.06,-0.01999999999998181
5,78.44,78.45000000000005,-0.010000000000047748
8,78.44,78.45000000000005,-0.010000000000047748
44,77.07000000000005,77.10000000000002,-0.029999999999972715
6,78.45000000000005,78.46000000000004,-0.009999999999990905
9,78.45000000000005,78.46000000000004,-0.009999999999990905
10,80.11000000000001,80.14000000000004,-0.03000000000002956
11,,,
12,,,
13,80.24000000000001,80.27000000000004,-0.03000000000002956
14,67.14000000000004,67.18,-0.03999999999996362
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
46,77.08000000000004,77.11000000000001,-0.029999999999972715
45,77.08000000000004,77.11000000000001,-0.029999999999972715
7,78.46000000000004,78.47000000000003,-0.009999999999990905
29,78.46000000000004,78.47000000000003,-0.009999999999990905
28,,,
32,77.01000000000005,77.02000000000004,-0.009999999999990905
33,77.03000000000003,77.04000000000002,-0.009999999999990905
34,77.05000000000001,77.07000000000005,-0.020000000000038654
30,,,
31,,,
35,77.06,77.08000000000004,-0.020000000000038654
